lifeform_description,humphreys_lifeform
Annual bamboo,annual
Bamboo,woody perennial
Biennial,herbaceous perennial
Biennial or chamaephyte,woody perennial
Biennial or hemicryptophyte,herbaceous perennial
Biennial or nanophanerophyte,woody perennial
Bulbous geophyte,herbaceous perennial
Bulbous geophyte or epiphyte,herbaceous perennial
Bulbous geophyte or helophyte,herbaceous perennial
Bulbous hydrogeophyte,herbaceous perennial
Caudex chamaephyte,woody perennial
Caudex chamaephyte or nanophanerophyte,woody perennial
Caudex geophyte,herbaceous perennial
Caudex nanophanerophyte,woody perennial
Caudex nanophanerophyte or phanerophyte,woody perennial
Caudex pachycaul nanophanerophyte,woody perennial
Caudex phanerophyte,woody perennial
Chamaephyte,woody perennial
Chamaephyte or climbing nanophanerophyte,woody perennial
Chamaephyte or epiphyte,woody perennial
Chamaephyte or helophyte,herbaceous perennial
Chamaephyte or hemicryptophyte,woody perennial
Chamaephyte or lithophyte,woody perennial
Chamaephyte or nanophanerophyte,woody perennial
Chamaephyte or phanerophyte,woody perennial
Chamaephyte or rhizomatous chamaephyte,woody perennial
Chamaephyte or rhizomatous geophyte,woody perennial
Chamaephyte or tuberous geophyte,woody perennial
"Chamaephyte, nanophanerophyte or phanerophyte",woody perennial
Climber,woody perennial
Climbing bamboo,woody perennial
Climbing bulbous geophyte,herbaceous perennial
Climbing caudex geophyte,herbaceous perennial
Climbing caudex phanerophyte,woody perennial
Climbing chamaephyte,woody perennial
Climbing chamaephyte or climbing nanophanerophyte,woody perennial
Climbing chamaephyte or epiphyte,woody perennial
Climbing chamaephyte or nanophanerophyte,woody perennial
Climbing chamaephyte or phanerophyte,woody perennial
Climbing epiphyte,epiphyte
Climbing epiphyte or lithophyte,epiphyte
Climbing helophyte,herbaceous perennial
Climbing hemicryptophyte,herbaceous perennial
Climbing hemicryptophyte or chamaephyte,woody perennial
Climbing hemicryptophyte or climbing chamaerophyte,woody perennial
Climbing hemicryptophyte or herbaceous phanerophyt,woody perennial
Climbing hemicryptophyte or nanophanerophyte,woody perennial
Climbing hemiparasite,woody perennial
Climbing herbaceous phanerophyte,herbaceous perennial
Climbing herbaceous phanerophyte or liana,herbaceous perennial
Climbing holomycotroph,herbaceous perennial
Climbing holoparasite,herbaceous perennial
Climbing lithophyte,herbaceous perennial
Climbing nanophanerophyte,woody perennial
Climbing nanophanerophyte or liana,woody perennial
Climbing nanophanerophyte or phanerophyte,woody perennial
Climbing rhizomatous geophyte,herbaceous perennial
Climbing succulent,herbaceous perennial
Climbing therophyte,annual
Climbing therophyte or biennial,annual
Climbing therophyte or hemicryptophyte,annual
Climbing tuberous geophyte,herbaceous perennial
"Climbing, sometimes tuberous nanophanerophyte",woody perennial
Epiphyte,epiphyte
Epiphyte or chamaephyte,epiphyte
Epiphyte or hemicryptophyte,epiphyte
Epiphyte or lithophyte,epiphyte
Epiphytic caudex chamaephyte,epiphyte
Epiphytic chamaephyte,epiphyte
Epiphytic chamaephyte or nanophanerophyte,epiphyte
Epiphytic climbing chamaephyte,epiphyte
Epiphytic climbing nanophanerophyte,epiphyte
Epiphytic hemicryptophyte  or chamaephyte,epiphyte
Epiphytic hydrophyte,epiphyte
Epiphytic liana,epiphyte
Epiphytic nanophanerophyte,epiphyte
Epiphytic nanophanerophyte or phanerophyte,epiphyte
Epiphytic or lithophytic chamaerophyte,epiphyte
Epiphytic or lithophytic nanophanerophyte,epiphyte
Epiphytic or lithophytic tuberous geophyte,epiphyte
Epiphytic rhizomatous chamaephyte,epiphyte
Epiphytic rhizomatous geophyte,epiphyte
Epiphytic scrambling chamaephyte,epiphyte
Epiphytic therophyte or chamaephyte,epiphyte
Epiphytic tuberous chamaephyte,epiphyte
Epiphytic tuberous chamerophyte,epiphyte
Epiphytic tuberous geophyte,epiphyte
Geophyte,herbaceous perennial
Helophyte,herbaceous perennial
Helophyte or chamaephyte,herbaceous perennial
Helophyte or epiphyte,herbaceous perennial
Helophyte or hemicryptophyte,herbaceous perennial
Helophyte or hydrochamaephyte,herbaceous perennial
Helophyte or hydrohemicryptophyte,herbaceous perennial
Helophyte or lithophyte,herbaceous perennial
Helophyte or phanerophyte,woody perennial
Helophyte or rhizomatous hydrogeophyte,herbaceous perennial
Helophyte or therophyte,herbaceous perennial
Helophyte or tuberous chamaephyte,herbaceous perennial
Helophyte or tuberous geophyte,herbaceous perennial
Hemicryptophyte,herbaceous perennial
Hemicryptophyte or bulbous geophyte,herbaceous perennial
Hemicryptophyte or chamaephyte,herbaceous perennial
Hemicryptophyte or climbing hemicryptophyte,herbaceous perennial
Hemicryptophyte or epiphyte,herbaceous perennial
Hemicryptophyte or geophyte,herbaceous perennial
Hemicryptophyte or helophyte,herbaceous perennial
Hemicryptophyte or lithophyte,herbaceous perennial
Hemicryptophyte or monocarpic hemicryptophyte,herbaceous perennial
Hemicryptophyte or nanophanerophyte,woody perennial
Hemicryptophyte or phanerophyte,woody perennial
Hemicryptophyte or pseudobulb chamaephyte,herbaceous perennial
Hemicryptophyte or rhizomatous geophyte,herbaceous perennial
Hemicryptophyte or therophyte,herbaceous perennial
Hemicryptophyte or tuberous geophyte,herbaceous perennial
"Hemicryptophyte, chamaephyte or nanophanerophyte",woody perennial
"Hemicryptophyte, lithophyte or epiphyte",herbaceous perennial
Hemiepiphyte,epiphyte
Hemiepiphytic chamaephyte,epiphyte
Hemiepiphytic chamaephyte or nanophanerophyte,epiphyte
Hemiepiphytic hemicryptophyte,epiphyte
Hemiepiphytic liana,epiphyte
Hemiepiphytic nanophanerophyte,epiphyte
Hemiepiphytic nanophanerophyte or phanerophyte,epiphyte
Hemiepiphytic phanerophyte,epiphyte
Hemillithophytic  chamaephyte,woody perennial
Hemillithophytic nanophanerophyte,woody perennial
Hemimycotrophic rhizomatous geophyte,herbaceous perennial
Hemimycotrophic therophyte,annual
Hemimycotrophic tuberous geophyte,herbaceous perennial
Hemiparasite,herbaceous perennial
Hemiparasitic biennial,herbaceous perennial
Hemiparasitic biennial or hemicryptophyte,herbaceous perennial
Hemiparasitic chamaephyte,woody perennial
Hemiparasitic chamaephyte or nanophanerophyte,woody perennial
Hemiparasitic climber,herbaceous perennial
Hemiparasitic epiphyte,epiphyte
Hemiparasitic hemicryptophyte,herbaceous perennial
Hemiparasitic hemicryptophyte or rhizome geophyte,herbaceous perennial
Herbaceus phanerophyte,herbaceous perennial
Herbacious bamboo,herbaceous perennial
Herbacious nanophanerophyte,herbaceous perennial
Herbacious phanerophyte,herbaceous perennial
Herbacious therophyte,annual
Herbacious therophyte or biennial,annual
Herbacious therophyte or hemicryptophyte,annual
Holomycotroph,herbaceous perennial
Holomycotrophic chamaephyte,woody perennial
Holomycotrophic geophyte,herbaceous perennial
Holomycotrophic hemicr.,herbaceous perennial
Holomycotrophic hemicryptophyte,herbaceous perennial
Holomycotrophic rhizomatous geophyte,herbaceous perennial
Holomycotrophic therophyte,annual
Holomycotrophic tuberous geophyte,herbaceous perennial
Holoparasite,herbaceous perennial
Holoparasitic chamaerophyte,woody perennial
Holoparasitic epiphyte,epiphyte
Holoparasitic geophyte,herbaceous perennial
Holoparasitic hemicryptophyte,herbaceous perennial
Holoparasitic therophyte,annual
Holoparasitic therophyte or hemicryptophyte,annual
Holoparasitic tuberous geophyte,herbaceous perennial
Hydrochamaephyte,woody perennial
Hydrochamaephyte or chamaephyte,woody perennial
Hydrochamaephyte or helophyte,woody perennial
Hydrohemicryptophyte,herbaceous perennial
Hydrohemicryptophyte or tuberous geophyte,herbaceous perennial
Hydronanophanerophyte,woody perennial
Hydrotherophyte,annual
Hydrotherophyte or helophyte,annual
Hydrotherophyte or hydrochamaephyte,annual
Hydrotherophyte or hydrohemicryptophyte,annual
Hydrotherophyte or tuberous geophyte,annual
Liana,woody perennial
Liana or chamaephyte,woody perennial
Liana or nanophanerophyte,woody perennial
Liana or phanerophyte,woody perennial
Liana or rhizomatous geophyte,woody perennial
Lithophyte,herbaceous perennial
Lithophyte or chamaephyte,herbaceous perennial
Lithophyte or epiphyte,epiphyte
Lithophyte or helophyte,herbaceous perennial
Lithophyte or hemicryptophyte,herbaceous perennial
Lithophyte or therophyte,annual
Lithophytic chamaephyte,woody perennial
Lithophytic pseudobulb geophyte,herbaceous perennial
Lithophytic therophyte,annual
Lithophytic tuberous geophyte,herbaceous perennial
Monocarpic hemicryptophyte,herbaceous perennial
Monocarpic hemicryptophyte or chamaephyte,herbaceous perennial
Monocarpic hemicryptophyte or epiphyte,herbaceous perennial
Monocarpic hemicryptophyte or lithophyte,herbaceous perennial
Monocarpic lithophyte,herbaceous perennial
Monocarpic nanophanerophyte,woody perennial
Monocarpic nanophanerophyte or phanerophyte,woody perennial
Monocarpic phanerophyte,woody perennial
Nanophan. or liana,woody perennial
Nanophanerophyte,woody perennial
Nanophanerophyte or cl. phanerophyte,woody perennial
Nanophanerophyte or phanerophyte,woody perennial
Pachycaul phanerophyte,woody perennial
Phanerophyte,woody perennial
Pseudobulbous chamaephyte,herbaceous perennial
Pseudobulbous epiphyte,epiphyte
Pseudobulbous epiphyte or geophyte,epiphyte
Pseudobulbous epiphyte or hemicryptophyte,epiphyte
Pseudobulbous epiphyte or lithophyte,epiphyte
Pseudobulbous geophyte,herbaceous perennial
Pseudobulbous geophyte or epiphyte,herbaceous perennial
Pseudobulbous geophyte or lithophyte,herbaceous perennial
Pseudobulbous lithophyte,herbaceous perennial
Pseudobulbous lithophyte or epiphyte,epiphyte
Rhizomatous chamaephyte,woody perennial
Rhizomatous epiphyte,epiphyte
Rhizomatous epiphyte or lithophyte,epiphyte
Rhizomatous geophyte,herbaceous perennial
Rhizomatous geophyte or chamaephyte,herbaceous perennial
Rhizomatous geophyte or epiphyte,herbaceous perennial
Rhizomatous geophyte or helophyte,herbaceous perennial
Rhizomatous geophyte or lithophyte,herbaceous perennial
Rhizomatous hemicryptophyte,herbaceous perennial
Rhizomatous hydrogeophyte,herbaceous perennial
Rhizomatous hydrogeophyte or helophyte,herbaceous perennial
Rhizomatous lithophyte,herbaceous perennial
Rhizomatous nanophanerophyte,woody perennial
Rhizomatous or tuberous geophyte,herbaceous perennial
Scrambling bamboo,woody perennial
Scrambling caudex geophyte,woody perennial
Scrambling caudex nanophanerophyte,woody perennial
Scrambling chamaephyte,woody perennial
Scrambling chamaephyte or climbing nanophanerophyt,woody perennial
Scrambling chamaephyte or liana,woody perennial
Scrambling chamaephyte or lithophyte,woody perennial
Scrambling chamaephyte or nanophanerophyte,woody perennial
Scrambling chamaephyte or phanerophyte,woody perennial
Scrambling chamaephyte or tuberous geophyte,woody perennial
Scrambling epiphyte,epiphyte
Scrambling geophyte,herbaceous perennial
Scrambling hemicryptophyte,herbaceous perennial
Scrambling hemicryptophyte or chamaephyte,herbaceous perennial
Scrambling hemicryptophyte or epiphyte,herbaceous perennial
Scrambling hemicryptophyte or therophyte,herbaceous perennial
Scrambling hemicryptophyte or tuberous geophyte,herbaceous perennial
Scrambling herbaceous phanerophyte,herbaceous perennial
Scrambling nanophanerophyte,woody perennial
Scrambling nanophanerophyte or liana,woody perennial
Scrambling nanophanerophyte or phanerophyte,woody perennial
Scrambling phanerophyte,woody perennial
Scrambling rhizomatous geophyte,herbaceous perennial
Scrambling semisucculent chamaephyte or nanophaner,woody perennial
Scrambling succulent,herbaceous perennial
Scrambling succulent chamaephyte,woody perennial
Scrambling succulent chamaephyte or nanophanerophy,woody perennial
Scrambling succulent nanophanerophyte,woody perennial
Scrambling succulent tuberous nanophanerophyte,woody perennial
Scrambling therophyte,annual
Scrambling therophyte or chamaephyte,annual
Scrambling therophyte or hemicryptophyte,annual
Scrambling tuberous geophyte,herbaceous perennial
Semiaquatic chamaephyte,woody perennial
Semiaquatic hemicryptophyte,herbaceous perennial
Semiaquatic therophyte,annual
Semisucculent chamaephyte,woody perennial
Semisucculent chamaephyte or epiphyte,woody perennial
Semisucculent chamaephyte or lithophyte,woody perennial
Semisucculent chamaephyte or nanophanerophyte,woody perennial
Semisucculent climber,woody perennial
Semisucculent epiphyte,epiphyte
Semisucculent hemicryptophyte,herbaceous perennial
Semisucculent liana,woody perennial
Semisucculent nanophanerophyte,woody perennial
Semisucculent nanophanerophyte or phanerophyte,woody perennial
Semisucculent phanerophyte,woody perennial
Semisucculent rhizomatous geophyte,herbaceous perennial
Semisucculent therophyte,annual
Semisucculent therophyte or biennial,annual
Semisucculent therophyte or chamaephyte,annual
Semisucculent tuberous chamaephyte,woody perennial
Semisucculent tuberous nanophanerophyte,woody perennial
Sometimes tuberous chamaephyte,woody perennial
Sometimes tuberous chamaephyte or nanophanerophyte,woody perennial
Sometimes tuberous hemicryptophyte,herbaceous perennial
Sometimes tuberous nanophanerophyte,woody perennial
Succulent,herbaceous perennial
Succulent biennial,herbaceous perennial
Succulent biennial or chamaephyte,herbaceous perennial
Succulent bulbous geophyte,herbaceous perennial
Succulent chamaephyte,woody perennial
Succulent chamaephyte or epiphyte,woody perennial
Succulent chamaephyte or lithophyte,woody perennial
Succulent chamaephyte or nanophanerophyte,woody perennial
Succulent chamaephyte or nanophanerophyte or phane,woody perennial
Succulent chamaephyte or phanerophyte,woody perennial
Succulent epiphyte,epiphyte
Succulent epiphyte or lithophyte,epiphyte
Succulent epiphytic chamaerophyte,epiphyte
Succulent hemicr.,herbaceous perennial
Succulent hemicr. or chamaerophyte,herbaceous perennial
Succulent hemicr. or lithophyte,herbaceous perennial
Succulent hemicryptophyte,herbaceous perennial
Succulent hemicryptophyte or bulbous geophyte,herbaceous perennial
Succulent hemicryptophyte or chamaerophyte,herbaceous perennial
Succulent hemicryptophyte or epiphyte,herbaceous perennial
Succulent lithophyte,herbaceous perennial
Succulent lithophyte or epiphyte,epiphyte
Succulent nanophanerophyte,woody perennial
Succulent nanophanerophyte or phanerophyte,woody perennial
Succulent phanerophyte,woody perennial
Succulent rhizomatous geophyte,herbaceous perennial
Succulent therophyte,annual
Succulent therophyte or biennial,annual
Succulent therophyte or chamaephyte,annual
Succulent tuberous chamaephyte,woody perennial
Succulent tuberous chamaephyte or nanophanerophyte,woody perennial
Succulent tuberous geophyte,herbaceous perennial
Succulent tuberous nanophanerophyte,woody perennial
"Succulent, somewhat tuberous chamaephyte",woody perennial
Therophyte,annual
Therophyte or biennial,annual
Therophyte or chamaephyte,annual
Therophyte or helophyte,annual
Therophyte or hemicryptophyte,annual
Therophyte or lithophyte,annual
Therophyte or nanophanerophyte,woody perennial
Therophyte or rhizomatous geophyte,annual
Therophyte or tuberous geophyte,annual
"Therophyte, biennial or hemicryptophyte",herbaceous perennial
"Therophyte, chamaephyte or nanophanerophyte",woody perennial
"Therophyte, hemicryptophyte or chamaephyte",herbaceous perennial
Tuber chamaephyte,woody perennial
Tuber chamaephyte or nanophanerophyte,woody perennial
Tuberous chamaephyte,woody perennial
Tuberous chamaephyte or nanophanerophyte,woody perennial
Tuberous epiphyte,epiphyte
Tuberous epiphyte or lithophyte,epiphyte
Tuberous geophyte,herbaceous perennial
Tuberous geophyte or chamaephyte,herbaceous perennial
Tuberous geophyte or epiphyte,herbaceous perennial
Tuberous geophyte or helophyte,herbaceous perennial
Tuberous geophyte or hemicryptophyte,herbaceous perennial
Tuberous geophyte or lithophyte,herbaceous perennial
Tuberous geophyte or therophyte,herbaceous perennial
Tuberous helophyte,herbaceous perennial
Tuberous hemicryptophyte,herbaceous perennial
Tuberous hemicryptophyte or chamaephyte,herbaceous perennial
Tuberous hydrogeophyte,herbaceous perennial
Tuberous lithophyte,herbaceous perennial
Tuberous lithophyte or epiphyte,epiphyte
Tuberous nanophanerophyte,woody perennial
Tuberous nanophanerophyte or phanerophyte,woody perennial
Tuberous or rhizomatous geophyte,herbaceous perennial
Tuberous phanerophyte,woody perennial
